ts,open,high,low,close,volume,quote
1765735200000,88760.70,89027.70,88666.60,88951.80,2687.242,238781174.83030
1765738800000,88951.70,88951.80,88432.00,88598.70,3606.978,319596448.83930
1765742400000,88598.70,88779.10,88272.20,88515.90,4214.170,373166628.82020
1765746000000,88515.90,88672.10,88300.00,88403.70,2504.477,221573446.22170
1765749600000,88403.60,88581.90,87920.00,88370.20,5448.732,480548969.73680
1765753200000,88370.30,88586.80,87504.30,88118.80,9228.303,811744024.98310
1765756800000,88118.80,88656.30,88025.30,88414.90,6845.761,604671904.27490
1765760400000,88415.00,89291.90,88376.70,89189.10,7675.283,682210557.62050
1765764000000,89189.00,89972.40,89180.20,89269.50,10463.711,936911329.94750
1765767600000,89269.50,89497.20,89180.20,89239.90,2830.361,252742625.81190
1765771200000,89240.00,89750.00,89229.50,89631.20,3284.332,293941562.64580
1765774800000,89631.30,89713.00,89455.00,89576.90,2273.939,203696171.93310
1765778400000,89576.90,89880.00,89428.40,89692.80,2308.575,206929774.25900
1765782000000,89692.90,89787.10,89466.00,89703.00,3074.255,275514554.43610
1765785600000,89702.90,89856.00,89604.80,89722.30,2342.125,210218115.20850
1765789200000,89722.30,89940.00,89719.90,89815.60,2667.771,239661973.71700
1765792800000,89815.70,89940.00,89640.60,89811.50,3610.907,324213692.47540
1765796400000,89811.60,89861.90,89525.00,89606.00,3169.716,284252249.59640
1765800000000,89606.00,89728.80,89384.50,89657.80,4316.407,386527899.80210
1765803600000,89657.90,89699.00,89230.20,89388.00,5044.004,451045727.03640
1765807200000,89388.10,89845.00,87800.00,88004.30,21117.372,1875625202.94080
1765810800000,88004.30,88179.40,86563.60,86996.60,36906.596,3218362863.89010
1765814400000,86996.50,87189.90,86000.00,86360.60,17766.480,1537406856.09950
1765818000000,86360.60,86487.20,85560.00,85734.30,13698.966,1177370241.81920
1765821600000,85734.20,86240.80,85073.00,86142.70,15236.983,1305572200.66320
1765825200000,86142.70,86521.20,85833.40,86104.20,9496.903,818507931.06690
1765828800000,86104.20,86155.90,85574.70,85763.20,7258.176,622983629.84700
1765832400000,85756.90,86275.00,85489.70,86209.60,6386.395,548405327.28250
1765836000000,86209.70,86235.50,85781.40,86228.80,2499.812,215042162.84770
1765839600000,86228.80,86437.10,86069.00,86389.90,3941.215,340111237.21100
1765843200000,86390.00,86478.60,85802.10,85821.10,4320.646,372232806.98000
1765846800000,85821.10,86135.60,85625.30,85850.10,3991.545,342698721.13180
1765850400000,85850.00,86188.00,85762.80,85901.60,2848.832,244927190.10750
1765854000000,85901.70,85979.90,85340.10,85837.70,5626.293,482004718.69040
1765857600000,85837.60,85887.80,85226.00,85799.90,3919.108,335494966.17960
1765861200000,85799.90,86171.10,85759.00,85983.80,4191.952,360348920.17140
1765864800000,85983.80,86575.80,85983.80,86458.00,3569.203,308149234.16340
1765868400000,86458.10,86577.00,85807.60,85964.80,5620.209,484245432.49360
1765872000000,85964.90,86343.40,85874.60,86236.50,2898.256,249622074.40170
1765875600000,86236.50,86392.00,86151.40,86307.60,2308.219,199143651.92470
1765879200000,86307.70,87299.70,86230.60,86932.10,8888.908,772115871.18860
1765882800000,86932.10,87295.80,86766.00,87216.60,4761.236,414533841.73020
1765886400000,87216.60,87450.00,87023.20,87161.90,4025.675,351072644.90830
1765890000000,87161.80,87776.30,86365.80,86410.40,17192.687,1496916811.38560
1765893600000,86410.40,87740.00,86055.90,87257.20,17661.302,1535719272.53330
1765897200000,87257.20,88143.90,86783.80,87936.30,15308.794,1338531815.45810
1765900800000,87936.30,88012.50,87340.00,87539.00,9724.625,852756198.20770
1765904400000,87539.10,87803.10,87050.00,87087.70,5176.300,452402695.60500
1765908000000,87087.70,87980.00,87015.80,87741.30,6469.039,566468172.97820
1765911600000,87741.30,87760.60,87245.20,87538.70,4663.517,407869293.65600
1765915200000,87538.70,87809.80,87297.90,87533.70,3124.503,273678996.83410
1765918800000,87533.70,87880.60,87455.50,87728.60,2375.316,208345258.95500
1765922400000,87728.60,87900.00,87600.20,87753.60,1630.451,143106776.89150
1765926000000,87753.60,87835.30,87557.30,87826.30,1928.432,169137677.22070
1765929600000,87826.30,87826.30,87371.70,87499.30,2884.824,252518121.77150
1765933200000,87499.30,87925.80,87439.80,87518.00,3149.697,276148621.01340
1765936800000,87517.90,87558.50,87150.00,87452.70,3382.066,295349675.64370
1765940400000,87452.70,87577.30,87104.20,87178.10,2255.041,196934699.36160
1765944000000,87178.20,87360.80,86675.40,86716.70,4956.735,430942796.49170
1765947600000,86716.80,86726.90,86158.40,86595.00,8325.493,719791683.09610
1765951200000,86595.00,86972.70,86554.70,86735.50,4895.883,424934730.36080
1765954800000,86735.50,87164.20,86555.50,87010.40,4571.173,397157020.90670
1765958400000,87010.40,87010.40,86286.00,86366.00,4211.822,364545558.77550
1765962000000,86366.10,86573.90,86222.70,86386.10,3860.757,333552954.43510
1765965600000,86386.10,86810.00,86201.00,86587.10,3924.413,339808219.07540
1765969200000,86587.00,87100.00,86523.20,86939.30,3489.497,303123392.18440
1765972800000,86939.20,87189.60,86776.70,86984.00,5470.773,475974292.49590
1765976400000,86984.00,87838.50,86768.80,87579.00,9018.728,787296185.50350
1765980000000,87579.00,89665.10,87099.50,89633.90,26881.708,2375150220.45680
1765983600000,89634.00,90363.20,87088.90,87191.40,44768.803,3988349695.14890
1765987200000,87191.00,87737.30,86128.50,86946.60,25022.893,2172672973.96350
1765990800000,86945.80,87077.00,86215.00,86380.60,8631.440,747954303.08260
1765994400000,86380.70,86807.20,85615.00,85796.10,9758.471,840370770.92840
1765998000000,85796.20,86149.00,85261.30,85982.70,12286.554,1052447148.08340
1766001600000,85982.70,86228.20,85630.00,85854.70,7149.991,614561958.79790
1766005200000,85854.70,86024.20,85663.00,85946.00,2436.312,209175453.55800
1766008800000,85946.20,86421.00,85850.00,86312.50,4056.920,349390757.32810
1766012400000,86312.40,86312.50,85909.30,86201.60,3256.754,280314572.15840
1766016000000,86201.60,86284.00,86012.10,86191.90,2336.984,201367721.58510
1766019600000,86191.80,86207.30,85820.60,86085.70,2579.189,221767934.33850
1766023200000,86085.60,86836.20,85970.70,86649.60,7195.388,622530648.80180
1766026800000,86649.50,86649.60,86200.00,86575.10,4006.995,346273209.25180
1766030400000,86575.10,86859.10,86558.00,86715.80,3149.995,273265305.67680
1766034000000,86715.90,86718.10,86323.70,86400.00,3069.612,265607252.54290
1766037600000,86400.10,86623.50,86353.80,86607.00,1911.973,165302815.21080
1766041200000,86607.00,86822.20,86546.00,86787.50,3428.556,297359190.53330
1766044800000,86787.50,87085.70,86640.50,86934.90,4362.345,379149767.80540
1766048400000,86934.90,87350.00,86755.00,87237.00,4381.369,381691465.93880
1766052000000,87236.90,87417.60,87161.60,87307.20,2855.616,249256772.96400
1766055600000,87307.20,87315.30,87014.40,87268.10,2844.819,247923313.58090
1766059200000,87257.00,87396.70,87068.00,87215.20,3029.939,264280219.69730
1766062800000,87215.10,89173.90,87215.10,88804.00,26129.051,2307093695.16310
1766066400000,88804.00,89447.90,87673.80,88325.40,27556.395,2437500315.78780
1766070000000,88325.40,89333.00,87940.00,88480.80,19047.466,1688788943.99120
1766073600000,88480.70,88500.00,87797.60,87984.60,9219.841,812887691.66600
1766077200000,87984.60,87999.90,85427.50,86443.60,34583.687,2985520300.49440
1766080800000,86443.60,86865.60,85662.50,85946.70,13347.694,1152023035.19080
1766084400000,85946.70,85990.00,84429.90,84447.00,26522.452,2258627587.07380
1766088000000,84447.00,85248.10,84408.60,84558.80,12161.166,1032528824.29520
1766091600000,84557.40,85800.00,84521.20,85584.60,9842.162,839485825.98430
1766095200000,85584.30,85721.20,85245.80,85544.00,3333.922,285116748.96980
1766098800000,85544.00,85591.60,85271.70,85469.70,2677.063,228734397.85300
1766102400000,85469.80,85576.10,85260.00,85572.90,2685.180,229364421.50010
1766106000000,85572.80,85572.80,85062.70,85291.70,2791.966,238105664.98260
1766109600000,85291.10,85917.40,85091.50,85600.80,5660.033,484157021.62890
1766113200000,85600.90,87550.00,85566.10,86863.10,19466.885,1687998881.19850
1766116800000,86863.20,87354.80,86793.50,87073.50,7968.043,693904198.69540
1766120400000,87073.40,87200.00,86651.90,87099.70,5338.204,463892992.37200
1766124000000,87099.70,87450.00,86871.60,87449.90,3071.612,267610630.39780
1766127600000,87450.00,88366.00,87436.30,87909.70,11661.734,1025272600.39040
1766131200000,87909.70,88179.60,87700.00,88063.20,5260.030,462664304.43180
1766134800000,88063.20,88134.00,87856.00,88068.30,2812.499,247458068.17470
1766138400000,88068.40,88333.70,87884.40,88237.10,5585.589,492183042.23670
1766142000000,88237.20,88345.10,88100.10,88169.90,3139.913,277039181.38660
1766145600000,88170.00,88247.50,87810.80,87840.80,6568.332,577955765.27860
1766149200000,87840.70,88228.90,87800.00,87968.10,5618.884,494369584.67620
1766152800000,87968.00,88610.00,87488.00,88140.80,17467.745,1537525954.96250
1766156400000,88140.80,89374.60,87655.60,87925.60,22121.319,1956819093.46340
1766160000000,87925.60,88888.00,87841.80,87956.60,8718.259,770296300.27360
1766163600000,87956.60,88320.00,86795.50,86912.60,15727.882,1374616633.82850
1766167200000,86912.60,87436.30,86808.10,87126.20,5170.649,450401866.96580
1766170800000,87126.20,88097.30,87100.00,87812.80,7325.182,642090897.23750
1766174400000,87812.90,88406.30,87569.10,88064.80,8141.234,716571411.13610
1766178000000,88065.00,88076.80,87758.10,87805.30,2199.579,193359604.84940
1766181600000,87805.80,88394.40,87805.80,88301.10,2271.987,200326064.57690
1766185200000,88301.10,88320.00,88085.00,88100.00,1511.754,133353613.00870
1766188800000,88100.00,88151.20,87926.70,87967.30,2122.767,186901188.36970
1766192400000,87967.40,88132.80,87967.30,88036.70,750.092,66050210.41340
1766196000000,88036.60,88279.00,87945.70,88168.00,1683.292,148350857.91860
1766199600000,88167.90,88294.80,88122.80,88165.30,1081.206,95384521.18980
1766203200000,88165.30,88294.00,88065.90,88257.10,1368.033,120642143.17910
1766206800000,88257.10,88551.80,88229.60,88250.00,2999.615,265125093.78350
1766210400000,88250.10,88409.00,88234.70,88262.20,990.732,87483271.90020
1766214000000,88262.30,88296.30,88145.60,88239.90,1539.951,135814380.08590
1766217600000,88240.00,88397.80,88217.00,88217.00,1142.187,100868274.91930
1766221200000,88217.00,88310.00,88182.00,88190.00,823.103,72632801.88060
1766224800000,88190.00,88250.00,88092.10,88133.70,1369.220,120693680.20340
1766228400000,88133.60,88279.50,88063.80,88243.60,1534.875,135365535.49130
1766232000000,88243.60,88320.00,88146.90,88214.00,880.262,77647701.42550
1766235600000,88213.90,88313.70,87698.50,88230.90,6359.480,559861760.01270
1766239200000,88230.90,88244.00,87970.30,88213.40,2084.892,183700697.15580
1766242800000,88213.40,88234.10,87971.60,88134.60,2204.745,194194049.74720
1766246400000,88134.50,88202.30,88089.10,88115.30,943.719,83173395.71090
1766250000000,88115.40,88217.20,88060.00,88144.50,783.087,69036302.95310
1766253600000,88144.60,88407.70,88111.50,88277.10,1507.599,133073573.77360
1766257200000,88277.10,88298.00,88157.00,88196.30,684.850,60420393.35700
1766260800000,88196.40,88285.20,88175.30,88250.40,514.301,45369928.97100
1766264400000,88250.30,88434.90,88140.30,88179.60,1055.058,93131592.71920
1766268000000,88179.60,88306.10,88111.10,88244.10,677.809,59782903.13160
1766271600000,88244.10,88393.30,88213.50,88320.80,872.973,77078519.94500
1766275200000,88320.70,88400.00,88262.60,88354.80,959.208,84723870.37030
1766278800000,88354.80,88354.80,87959.80,87980.50,2841.286,250330813.25730
1766282400000,87980.50,88115.30,87821.10,87911.50,2429.877,213679779.71870
1766286000000,87911.60,88127.90,87899.80,88043.20,1105.952,97364643.53370
1766289600000,88043.30,88119.30,88010.00,88036.40,572.620,50427184.74340
1766293200000,88036.40,88123.80,88015.00,88102.00,536.987,47296939.93200
